County/ Sub-County,ConventionalHouseholds,Makuti/Twigs,Makuti thatch,Dung/Mud,Iron sheets,Tins/cans,Asbestos  Concrete/sheet,Cement,Tiles,Canvas/Tents,Decra/Versatile,Nylon/Cartons/Cardboard,Shingles,Not Stated
TRANS NZOIA WEST,47576,1.4,0,0.6,93.4,0.1,1.7,1.1,1.2,0,0.2,0.2,0,0
TRANS NZOIA EAST,49955,1.4,0.1,1.2,95.6,0.1,0.9,0.2,0.2,0,0.3,0.2,0,0
KWANZA,45599,1.3,0,1.2,95.6,0.1,0.6,0.6,0.3,0,0.2,0,0,0
ENDEBESS,23246,12.9,0.2,1,85,0.1,0.3,0.1,0.2,0,0.1,0.1,0,0
KIMININI,56613,0.2,0.1,0.8,95.6,0.2,1.2,0.7,0.7,0,0.4,0.1,0,0
UASIN GISHU,301110,0.9,0.1,0.4,92.8,0.1,1.6,1.5,1.8,0,0.6,0.2,0,0
AINABKOI,34862,1.2,0.1,0.2,88.2,0.1,1.6,1.2,6.5,0,0.7,0.2,0,0
KAPSERET,59678,0.1,0,0.3,92,0.1,1.1,3,2.1,0,0.9,0.3,0,0
KESSES,34623,1.2,0.1,0.3,95.8,0.1,0.9,0.4,0.4,0,0.6,0.2,0,0
MOIBEN,46602,2,0.1,0.4,93.1,0.1,1.4,1.4,0.8,0,0.6,0.1,0,0
SOY,53758,1,0.1,0.5,94.9,0.1,1.6,0.6,0.7,0,0.4,0.1,0,0
TURBO,71587,0.6,0,0.4,92.6,0.1,2.6,1.6,1.3,0,0.4,0.2,0,0
ELGEYO/MARAKWET,99119,16.6,0.2,0.9,80.4,0.1,0.8,0.3,0.2,0,0.1,0.1,0.2,0
KEIYO NORTH,21749,8.1,0.1,0.2,88.6,0.1,1.5,0.2,0.7,0,0.4,0.2,0,0
KEIYO SOUTH,26740,8.4,0.2,0.3,88.9,0.2,1.3,0.2,0.2,0,0.1,0.1,0,0
MARAKWET EAST,21123,41.7,0.3,1.7,55.2,0.1,0.2,0.5,0,0,0,0,0.2,0
MARAKWET WEST,29507,12.2,0.2,1.3,84.7,0.1,0.3,0.3,0.1,0.1,0,0.2,0.5,0
NANDI,199040,2,0.1,0.8,95,0.1,1.1,0.3,0.3,0,0.3,0,0,0
CHESUMEI,39011,0.7,0,0.7,95.5,0.1,1.3,0.4,0.5,0,0.5,0.1,0,0
NANDI CENTRAL,34247,1.2,0.1,0.9,95.1,0.1,1.3,0.4,0.6,0,0.2,0.1,0,0
NANDI EAST,29249,0.9,0,0.4,97,0.1,0.6,0.5,0.2,0,0.2,0.1,0,0
NANDI NORTH,35257,2.3,0.1,0.9,94.9,0.1,1.1,0.1,0.1,0,0.3,0,0,0
NANDI SOUTH,37038,2.4,0.1,0.9,95.1,0.1,1,0.1,0.1,0,0.1,0,0,0
TINDERET,24238,5.7,0.1,0.8,91.9,0.1,0.9,0.2,0.1,0,0.1,0,0,0
BARINGO,141877,22.3,0.4,1.2,74.3,0.1,0.8,0.3,0.3,0,0.1,0.2,0,0
BARINGO CENTRAL,23523,6.4,0.1,0.2,90.5,0.1,1.3,0.6,0.6,0,0.3,0,0,0
BARINGO NORTH,23345,21.5,0.1,0.3,77.4,0.1,0.3,0.1,0.1,-,0,0,0,0
